ID_compte;ID_visiteur;ID_produit;quantite
;2712;8874;93
;5349;9358;113
;1091;591;126
;6430;3109;33
;6487;8675;234
;2888;5398;429
976;;7060;8
;4755;1773;10
;1035;385;16
2436;;4457;14
7809;;6294;133
;539;81;10
8426;;705;216
;6785;8321;95
1369;;7544;213
4433;;712;177
7843;;5280;307
;177;6270;200
;7295;7293;254
4277;;6432;2
9625;;681;235
8207;;2125;284
6780;;7635;20
6945;;8079;33
;1692;6902;285
2393;;7840;190
1168;;6587;129
;4071;6502;0
;9902;4166;0
;3528;419;169
;8252;2538;175
4416;;9824;194
7566;;3407;147
;3288;6350;196
;6835;2791;76
6751;;4724;111
;6703;8580;73
8814;;6422;153
;8071;9288;48
6826;;411;15
;2952;4435;351
;458;5647;86
;4583;9623;8
2828;;2846;61
;1628;5442;181
4350;;9628;345
;3129;1717;15
3363;;6190;124
;2000;329;19
1284;;6172;131
937;;7445;35
;555;7940;11
;485;9934;180
;74;4758;58
5564;;4231;351
1797;;425;45
;5308;8228;72
;4312;8403;415
5301;;2793;3
5476;;5470;99
;4086;3853;29
4519;;3319;250
6577;;7141;5
;985;3340;24
8843;;6877;17
7288;;9982;0
;829;6486;92
8077;;5587;57
3064;;4941;12
6031;;3149;76
1308;;2736;117
8251;;7682;13
2498;;9724;188
;4724;2989;241
;6983;4500;89
;8021;4829;216
;901;4573;31
;6724;6156;253
2664;;699;3
;8127;1696;316
;690;8011;15
;9406;9701;119
;9392;6073;104
4098;;4055;2
;8390;2243;45
580;;1009;50
794;;3335;67
8000;;3687;86
;6463;9265;195
;3194;1337;98
1448;;6030;186
5257;;2898;7
6297;;4100;11
;5897;2508;173
766;;5473;135
;7047;7075;109
;6855;1512;189
;6579;1523;120
;1146;8052;32
;3645;2412;21
7124;;8981;13
;8926;2277;156
;8381;6033;83
3846;;6257;263
6799;;4778;19
;3592;5917;80
;643;738;7
9756;;4062;125
;2239;6795;128
7742;;1043;39
;1218;6102;8
;6687;9415;11
;2607;7432;10
9812;;6903;173
;630;827;230
3887;;3063;111
;3483;1774;200
;8379;3004;15
2042;;7289;22
;1133;3402;188
1147;;7652;95
7392;;7648;93
7320;;5613;66
5375;;682;348
;4334;5668;4
;6851;1476;383
4048;;5512;7
;7633;7600;274
;9997;3988;118
2722;;9888;45
;2715;2780;1
3333;;8786;29
9319;;9323;115
8735;;376;20
8128;;7491;0
7247;;5816;84
;4858;2206;229
6136;;8257;170
69;;6767;105
9136;;8996;165
6041;;1913;44
;340;8410;19
6825;;3006;199
8895;;7172;335
;9640;1534;45
;8992;6676;100
;4032;4000;123
8718;;296;10
;4708;4024;38
670;;2678;221
8649;;2625;120
1370;;2802;25
125;;9460;376
;1274;5243;83
;1739;8734;176
7201;;6716;66
;2636;8036;3
6049;;5714;52
5696;;73;11
1031;;4174;58
421;;7228;125
6732;;3009;69
5591;;4737;68
1822;;5434;392
3631;;1909;112
8053;;2776;214
;5406;7750;62
;1221;2235;152
;9375;822;103
1801;;5895;129
5859;;8100;138
;2818;5486;90
;8052;107;4
;8281;1122;189
;7160;4729;18
;9465;4942;15
6439;;6561;95
2248;;9606;0
;6693;7736;40
9072;;4262;126
671;;4576;63
1703;;6494;78
1206;;8808;271
;4825;5365;64
7349;;8554;216
;594;2282;215
;2401;6731;37
3812;;1334;315
;8888;8222;10
;8;5726;127
7047;;363;20
;332;7218;47
4874;;8851;368
3813;;1634;433
;6346;9063;42
;3078;1557;61
8689;;3414;212
4530;;7037;88
;4832;1026;101
1864;;7896;115
9956;;7085;118
;9969;9134;107
;7370;6266;18
4328;;3513;44
9272;;1725;322
3093;;5724;110
5204;;608;40
8515;;2562;252
2333;;3434;29
8970;;7095;244
;4317;8290;141
;3313;4238;4
;1727;9257;41
8522;;4837;67
3691;;7407;180
;405;6061;3
;1972;4825;17
9371;;4559;32
4439;;4043;57
;7219;2896;39
;6097;6831;105
4342;;2770;237
7950;;4610;27
8809;;6967;381
4612;;8986;270
2762;;9264;26
;5597;966;169
1820;;3204;104
;6404;7095;322
;686;5827;224
7776;;6803;4
7186;;8304;76
;4761;9124;98
3950;;6483;202
;1139;1556;37
;9427;1223;11
;6003;8809;118
;9573;3754;228
2261;;8574;360
4502;;6191;6
;4821;2350;7
2104;;1668;32
998;;5453;455
;8281;4044;57
;8721;1742;4
;7997;1646;69
5550;;1601;38
;7262;8523;146
;6769;1236;65
4181;;1308;83
2996;;8616;95
;7581;9399;6
1161;;460;111
;2501;4739;126
;3981;5293;284
3319;;3228;27
;6275;3348;137
;8631;9767;125
;1905;8307;135
2748;;5970;40
9472;;6626;440
;5645;4380;4
;5436;8116;27
;5158;1116;27
6016;;181;215
945;;1352;148
;9617;8050;24
4879;;2890;187
4022;;847;73
1601;;8784;0
7005;;6970;76
;6466;5368;383
;7926;5501;97
;2132;212;333
962;;1104;36
;4729;3819;20
;2465;1502;19
;2791;453;144
;7332;1997;52
9105;;4707;203
;8705;2890;254
646;;3990;16
;3240;2893;152
3909;;9941;192
1585;;5207;228
;8345;7509;4
;5336;9582;269
;2771;6230;275
;7707;4880;14
3193;;6940;164
5532;;2448;310
4812;;6325;40
;4888;3380;326
;8224;962;88
6630;;98;74
6471;;9570;9
;7297;7268;270
614;;477;104
8273;;2133;0
3160;;7899;31
7647;;1770;0
;6646;3965;364
4173;;8994;54
2796;;1548;5
1525;;7808;70
1420;;9508;69
5532;;5492;94
1181;;4535;2
7141;;9408;66
759;;8224;79
7509;;4734;352
;559;3563;107
7284;;5486;237
;9593;2053;11
6171;;2288;185
;8977;4822;448
;4683;588;202
9678;;8332;17
;2202;3722;85
7408;;7125;194
;2460;3867;140
;2706;5123;250
;6650;9906;69
;9512;4848;24
;4098;2750;14
7072;;7628;3
4924;;8264;139
6569;;7009;60
619;;2545;57
;767;6083;60
;5802;3773;184
;7585;5540;70
;4203;8116;15
;4700;9958;98
1013;;1708;396
5743;;8550;154
8224;;2501;237
6465;;6905;234
;8844;4981;8
;5607;4354;88
;7014;2891;80
;7292;6592;275
6266;;3019;148
4934;;5925;178
;6739;9128;27
;6209;8935;184
;7484;3579;126
;2140;5917;16
4680;;4305;5
3933;;9098;344
9005;;8159;3
;2133;64;141
;2129;5811;416
5307;;6312;354
7421;;5050;44
8680;;234;131
7104;;8314;96
;4621;7231;25
;247;158;220
2316;;682;218
;567;5685;168
9106;;3572;134
;9708;3305;184
;3753;4141;200
5755;;4463;42
;8512;8617;0
;8698;842;0
;8960;5660;1
;4487;1034;0
;298;8893;167
5463;;6038;160
1405;;4292;31
;3982;8926;268
3942;;9486;100
;5466;1618;86
;6012;9355;7
;8075;7087;78
;4374;60;376
3100;;4896;3
7481;;3323;44
9441;;9410;31
7391;;4815;111
;8673;7778;18
;1492;5969;0
;1975;1442;9
;2570;768;278
;6362;8487;87
7383;;510;31
;3297;5990;20
;66;3746;134
;1445;9752;60
;6882;50;32
7769;;4485;14
;1090;8392;84
;6038;9748;68
5785;;2656;20
;5414;6783;111
;8431;5416;85
;1874;4939;104
;2238;8236;110
;4740;1520;23
;5397;5519;24
;1336;3232;237
7556;;732;87
1162;;8009;324
;6888;3302;63
;2189;5838;118
;6668;3881;371
;6843;8621;217
9879;;6922;43
;2184;1184;466
8840;;3113;307
;2206;6495;314
;8502;7867;29
;8126;5037;69
;1847;7028;57
5403;;4212;32
2003;;5014;90
4344;;2242;202
;5227;7634;131
;979;3345;58
9952;;7217;112
;9482;9763;28
;5116;8466;48
8986;;2673;29
;7366;7620;187
7875;;9595;59
;433;4416;8
3224;;87;253
1741;;9089;100
7784;;2921;338
3560;;4756;56
;5553;4935;382
;413;2420;124
7711;;5763;71
2003;;496;323
;423;6340;133
65;;3629;227
;5106;261;228
;7768;9504;237
5577;;1128;428
2621;;4611;44
5727;;7614;136
1488;;5058;28
;1386;579;151
388;;9608;29
6104;;1392;149
4775;;5704;147
;2513;3138;0
;9671;1686;7
2846;;3019;131
6915;;2834;107
9806;;3954;26
;3851;1004;52
4571;;2420;152
;7863;3594;298
3031;;9228;385
3284;;6327;198
;9930;2600;371
;6359;3553;12
1251;;3059;106
;3042;7658;100
7941;;6595;107
7956;;7860;8
7521;;2927;162
;1559;1522;134
;5847;2398;312
;9915;7946;37
371;;1151;259
8560;;339;20
6130;;9881;16
9160;;6688;170
192;;6888;94
;8441;2381;77
2071;;9061;281
821;;5402;198
;3147;6308;182
;2118;2169;280
;4287;5522;69
3028;;4511;79
7753;;96;49
9665;;9483;216
;6026;8284;20
8311;;4998;66
954;;2645;132
;7334;2201;144
;3413;2734;230
;9563;1215;3
4436;;2666;99
;3999;1570;31
6991;;7088;113
2143;;1445;359
2777;;2939;87
;9055;400;112
;1749;9695;164
8441;;8286;264
;5529;1352;390
9632;;8754;178
4186;;8691;18
;9263;9298;0
;2111;4871;125
3872;;8857;243
6527;;5192;193
;3097;6041;85
9473;;4479;0
2200;;7159;184
;4484;4896;60
3856;;4734;30
7826;;4924;7
;4585;214;209
8741;;7655;181
;7081;5968;103
2986;;6813;197
5075;;7645;299
;4104;7920;212
9282;;1052;115
;102;1746;91
;4414;8391;23
;5722;2048;169
6615;;4763;18
;2456;7857;265
7779;;1047;205
;5600;1671;126
2303;;8446;163
2406;;9781;3
7826;;7589;43
1461;;1347;245
3568;;946;158
341;;892;130
3232;;1345;347
;8569;6223;278
9264;;5274;53
3909;;2007;271
;2541;9765;202
3668;;8356;407
5188;;857;49
;2798;1307;0
6568;;5258;99
;129;3384;83
8050;;3518;121
;4771;1354;61
;8921;669;89
;2011;2797;2
5813;;7233;74
;9857;1318;293
786;;2933;162
4453;;8943;340
;7228;3162;159
600;;9115;26
4231;;114;444
9790;;8108;35
6197;;6397;411
6812;;9622;172
4988;;1286;18
;6285;3957;392
569;;8729;280
4693;;344;6
;2234;643;108
;5292;6233;446
;4301;7837;20
4113;;4915;40
3747;;3842;204
;905;3263;41
5280;;854;237
;7656;7092;4
7885;;1490;13
3669;;4366;175
9908;;6381;231
4153;;6474;61
;910;8593;172
;9649;5919;171
7857;;1812;368
3074;;8105;20
;3856;4338;133
6233;;48;256
;2599;6378;146
;7929;3325;154
;4707;3771;305
;653;949;147
;8791;99;130
;9597;6588;132
;9798;4015;88
8354;;1402;10
;462;1483;91
7980;;29;37
1423;;6201;258
4329;;8682;129
6402;;8680;383
7894;;4756;16
6899;;4208;222
9654;;6688;7
;9601;3076;51
3155;;3049;4
6836;;8321;157
1810;;4138;327
;5332;8499;207
;8343;596;345
;4098;7039;176
;1779;9608;177
6311;;6522;39
;5139;6473;54
3858;;9902;23
78;;9486;115
;8573;1416;319
879;;1761;48
8515;;4935;35
;755;6200;58
1809;;3755;312
;6294;4631;344
47;;9059;234
3948;;4092;365
8948;;5950;23
;9665;8432;48
3107;;8089;476
4337;;5068;293
3225;;5942;56
5663;;9895;239
;730;4189;231
;7765;5583;63
4411;;1627;185
;5684;729;7
5593;;1905;2
1636;;1458;49
1158;;8586;150
1781;;697;1
;2485;9221;77
;2474;4981;26
7255;;5272;171
;6784;9851;24
2391;;9193;29
2226;;8988;308
;9716;4421;54
1260;;2296;408
;5756;151;186
;4883;9278;195
;134;1793;161
6877;;7929;99
;4682;4744;89
;7239;4111;20
;7335;8100;111
;1671;9132;142
6857;;2438;268
7170;;4441;343
9156;;9115;101
3;;9331;59
8944;;6554;397
7023;;5030;6
;7187;5518;138
;1957;347;1
6004;;4876;22
;1877;3096;117
;8404;6232;12
3334;;6007;107
2455;;6423;25
;4690;9084;27
1102;;4456;150
924;;3836;181
1731;;1518;52
1327;;2243;9
;4603;9521;31
912;;2626;219
;6414;3052;51
;3717;7139;9
;3394;1378;40
;1568;2504;70
;4849;3200;31
8468;;8828;113
;3825;1608;85
;8539;9026;0
8878;;437;39
;2734;3194;168
;9873;5458;96
;9037;1098;95
;2723;6205;236
5773;;1904;10
8832;;6484;77
3590;;4292;45
;832;6180;118
4919;;9691;429
;231;3383;292
5698;;7099;77
;4714;9340;181
8545;;4895;59
;2514;8435;32
3336;;7567;203
;6487;4294;63
;6020;2338;213
8804;;9430;44
4845;;2344;0
;2680;4323;62
4355;;4087;259
;103;2028;47
1488;;5448;374
;9058;6414;20
;3381;2535;70
;1275;6601;392
5424;;8708;81
;5462;3908;298
;7958;6862;6
;2637;5174;166
;4809;3128;294
8770;;9982;0
;927;5142;10
1054;;400;130
;9133;6394;11
7980;;7772;125
;6690;5995;50
4810;;4264;2
6128;;7407;220
;6201;5432;115
6240;;5478;175
5230;;7465;13
;9866;7317;23
1516;;5105;8
9466;;4457;401
;7829;3707;39
6924;;1352;226
;9229;1281;85
;7915;8815;31
8568;;5804;280
;930;3040;138
6495;;1327;361
;3824;4502;31
;8828;2213;43
;7820;2084;0
2601;;736;92
;3758;6064;311
;8952;3063;32
3636;;1889;2
5526;;7822;177
8549;;8053;196
6210;;8778;13
9759;;1002;56
5267;;2269;2
9543;;3694;104
;9848;9170;60
5356;;4267;121
1420;;8169;158
7100;;1679;11
;9459;6861;109
;1875;5826;242
;3547;6572;136
;432;9606;0
7621;;2412;192
;4721;2627;351
9906;;5520;35
;8260;2109;17
5478;;9568;200
;8830;6678;24
;7298;7626;69
5934;;7343;90
1488;;503;105
;184;5105;32
;8219;1103;39
;3690;7147;157
;1521;3708;29
;9736;4717;3
7637;;8926;34
7781;;6821;166
;8135;9196;141
3801;;3447;131
5668;;1779;240
1995;;4444;0
;1272;5408;107
;648;5899;364
5085;;8587;70
6098;;9248;43
;9346;4838;160
849;;3522;17
2391;;3751;35
7321;;2974;44
591;;5818;72
;2208;8749;435
8172;;3016;331
6324;;720;121
;3530;6447;3
6707;;2280;378
;2076;8746;68
9326;;241;145
;2465;4819;343
;3049;6852;187
5948;;9807;141
;290;7288;62
;1078;4081;174
;2677;1849;211
;7134;8665;5
;5347;8290;46
2578;;279;42
7903;;6794;89
1242;;7950;279
;8845;6240;162
9230;;5162;229
;4615;5331;365
;8966;941;101
5347;;8549;4
;5801;2748;65
;1164;6771;68
9375;;3755;124
;7074;9138;37
1942;;1637;232
;3843;7005;5
3795;;6930;0
;490;1486;132
;8365;2871;16
;8531;4271;1
4853;;2221;139
;5352;5929;56
5433;;6651;24
;9385;5829;45
3056;;7455;306
;3439;2679;53
6546;;3612;3
5012;;5929;146
;1824;1635;113
;6886;5490;125
7267;;8062;33
;4230;8621;143
4555;;3086;181
2186;;2456;281
3362;;8568;37
;4459;7045;3
;1496;2405;9
;2791;3940;56
;5999;7596;17
;3915;1029;25
3093;;1935;14
;1753;7519;45
;5806;6827;67
5649;;4811;7
6970;;8507;158
9291;;7087;122
8254;;9736;176
;5801;4287;248
8686;;4963;35
;5685;3809;60
;7568;3669;34
;8139;4164;106
9396;;623;28
;4408;4785;63
;3862;7600;170
1137;;7550;2
;5456;4752;146
;7794;6920;49
2128;;2680;13
;1143;9104;9
;3631;634;64
7103;;3438;74
;477;3839;210
;222;7335;107
;2910;7626;169
;809;8902;50
4547;;3556;76
5683;;291;187
8946;;1958;156
;3591;9137;12
2379;;4471;170
3862;;4445;168
;7625;7634;216
7446;;4917;375
6072;;8169;68
1401;;6770;0
681;;5409;212
4210;;7062;4
4158;;460;41
;9324;2856;379
3010;;4310;381
656;;3601;90
;4113;3139;49
;3059;8398;354
2126;;9124;190
;401;6592;264
7694;;8589;8
5645;;6353;55
8449;;1066;208
;3326;7099;245
;3073;2317;2
;1698;9120;46
7564;;2462;11
;112;5869;101
3844;;6925;294
;715;119;154
;1568;6891;144
3175;;5842;202
5916;;9684;286
;3706;5888;299
1793;;5012;368
;8840;887;39
;7895;673;205
3039;;1817;36
;3290;7233;64
7159;;5552;9
;4098;1704;7
;4674;2620;174
5805;;6086;11
;7413;7980;96
1719;;4598;145
3613;;9768;184
8496;;5295;123
8972;;7635;15
4782;;9541;324
6106;;3355;0
3925;;6098;20
;260;4223;7
726;;1760;126
75;;2845;50
;5552;2647;3
;7291;765;67
;2540;9920;3
;3951;7930;114
;4471;8281;36
;6948;2786;41
2362;;5041;11
2406;;6670;21
3382;;2441;109
;1317;9805;57
7181;;710;25
;9001;3955;181
;9019;2278;312
2448;;8942;206
;565;9337;36
;6714;4937;253
1560;;4127;107
;6005;9196;219
;2376;9155;51
;6956;3667;69
;7897;8203;49
4630;;3349;261
;1339;964;131
;7142;8389;77
;6400;8804;169
8759;;8031;221
;4008;5187;363
;8154;2653;1
805;;8649;287
7173;;3042;108
;2729;9778;208
9688;;76;161
;1456;5566;123
;4285;4011;336
4294;;482;289
715;;9654;157
5997;;333;113
;9638;630;84
976;;2258;218
;6238;6030;402
;9587;7503;132
;4850;4201;19
;539;5298;149
;3824;421;207
1817;;8835;284
;7457;1339;304
2663;;1065;274
4055;;473;123
;2608;17;97
;3756;7554;137
6053;;1059;6
;1043;3349;170
3186;;3362;213
;770;9640;198
2675;;2403;106
;2028;682;40
;3631;9515;96
9939;;8772;214
2894;;4333;22
;9687;6700;18
3211;;8455;13
4175;;7252;60
3052;;8785;140
4735;;5629;270
1274;;7070;44
;3544;2003;15
;3894;7774;241
9351;;4601;132
4373;;4191;300
5137;;7428;107
5330;;2496;65
;4128;7118;182
;6419;3406;217
;4811;4752;363
1244;;5787;37
1293;;9390;79
;2162;2529;27
;46;309;16
;8654;1879;6
;7964;486;276
;9284;152;2
4466;;7845;58
3604;;2244;115
;3203;2942;1
1051;;8526;38
2831;;2717;149
;5867;8552;176
;5629;8806;22
;2251;6561;182
;1285;6379;185
;1557;851;12
;3840;4978;22
4291;;7619;76
;8276;186;85
6446;;6111;343
7534;;4938;19
;4279;2273;52
5592;;3849;68
1887;;884;328
;1109;1752;75
162;;7264;198
856;;6233;232
5604;;3035;199
;5952;4549;253
;8541;9259;0
4449;;5290;61
6739;;6848;156
1885;;1572;46
9088;;7359;98
;3893;1897;237
;9938;9040;94
;2013;6860;80
;8510;1576;0
;2120;4574;7
;6732;1243;79
2109;;6373;44
;6134;8649;100
;1867;3979;17
;3038;9036;294
8615;;2445;21
;8995;6269;339
4715;;4152;56
9852;;2290;15
4936;;7471;19
;6913;2933;101
7840;;6507;11
8461;;1004;132
;2314;3031;179
4069;;7767;10
;7911;8081;22
981;;5492;178
5180;;1610;329
9352;;1333;100
3049;;574;119
;3835;9932;11
1498;;9283;151
4898;;5947;26
3224;;8048;89
7465;;5308;107
;5224;534;68
1019;;1148;64
3539;;1501;59
;3677;5814;103
2178;;5108;210
1386;;386;28
;579;9268;14
;7570;5669;196
;1657;3516;83
;8320;7923;12
;3272;1506;194
4855;;4933;70
;8475;3748;188
5062;;9330;20
6445;;1631;154
;4940;2064;58
;4499;6453;379
;2831;3105;9
8930;;8773;104
3117;;5305;5
;4242;8363;101
;6753;941;116
6847;;7875;190
;1872;4385;71
;1570;1119;265
8662;;637;99
850;;4836;249
;3811;1469;300
;3431;8932;11
;8561;5896;28
6621;;8926;326
9183;;6096;12
;5130;3460;163
4135;;3349;249
;8162;2299;77
2790;;1402;22
;3498;664;195
7494;;2421;356
;8255;7855;18
289;;5620;118
;7210;7564;226
9400;;9521;17
;8098;5792;10
2713;;1067;100
;5144;6473;381
8338;;3035;246
;8244;3352;9
;3117;7676;79
7428;;1779;182
7995;;9647;0
7386;;8716;43
;9560;6026;6
;1018;9546;2
135;;5687;339
;5916;399;362
;9467;5907;98
7361;;7974;322
;4485;8235;433
;5672;8627;15
8987;;2611;145
9234;;2805;143
;4819;9724;242
2440;;6816;266
;2077;7180;118
4995;;1009;58
;206;3736;45
;6717;1495;98
9374;;4991;142
4749;;1755;82
6667;;125;50
;7416;2389;16
1326;;6207;196
9334;;6912;15
1;;6838;102
1466;;98;105
5959;;5335;268
;3799;8018;54
8291;;6163;174
;9500;1468;100
;7935;260;113
8180;;6070;70
;1558;5665;216
;5032;1300;92
;6876;6606;61
;6982;6948;78
88;;434;39
3318;;31;43
1532;;196;132
8115;;4689;240
;2856;6237;173
4771;;9515;241
;7289;8283;174
;401;816;1
4021;;2054;128
;2453;3196;285
7073;;3192;17
;7769;4847;2
8906;;6528;275
;554;9573;231
;829;8686;14
;2937;9283;11
;3105;6327;91
3440;;9822;57
;228;4857;5
;9752;9241;302
7390;;9541;28
6636;;4309;119
3635;;1025;14
;8297;1923;7
;3081;3342;14
9696;;9663;161
;4146;1732;245
;9734;946;170
4612;;1699;57
;2398;9415;20
913;;494;80
714;;8519;87
9443;;9487;73
6096;;9385;251
8976;;2820;202
;347;8678;127
;9977;8088;70
7893;;8546;129
5017;;4569;24
545;;8277;51
;1351;3882;254
;847;201;39
;4972;7469;62
7469;;8099;201
;8534;8105;80
4377;;3902;3
1548;;6803;21
1006;;9001;327
2345;;8517;16
;510;3021;306
9883;;7653;6
;8248;6478;100
846;;8840;445
5128;;7652;266
4506;;882;68
8227;;4159;124
8837;;9706;421
6755;;5261;163
7014;;2811;3
7636;;2933;177
;3483;5838;200
;7312;4521;323
4561;;8404;19
;2214;2620;215
1848;;1029;9
;3307;3545;37
5069;;589;257
;3271;2035;182
;7219;8339;6
3277;;7330;166
;4931;5133;360
;5900;7827;83
;3606;8437;0
;9844;3591;52
9040;;4868;289
;120;1186;36
;2091;5521;20
9594;;4482;48
;7232;7483;349
;3644;1890;134
8360;;5643;67
;1198;8103;180
;5141;9494;161
1375;;5495;85
8729;;4458;190
;285;9132;27
;5573;7526;345
9960;;4525;39
;5571;689;139
;8050;4147;86
2599;;9728;36
7450;;4121;107
7665;;7257;0
;4681;5692;25
;8852;3125;407
2189;;4078;89
7579;;1673;7
;22;8056;45
;8427;7946;31
6081;;3126;34
6694;;7368;57
;8524;2854;10
5559;;9262;51
;4250;1965;14
4578;;1946;141
4943;;1441;14
;1743;7893;133
4560;;1960;307
2393;;1572;13
1522;;7663;63
;9848;8542;135
4913;;8862;37
5863;;7321;129
2122;;7720;132
7987;;3198;12
9292;;1192;46
109;;2189;228
;3849;5062;39
5140;;6892;25
;8872;5506;175
;4273;9535;221
2386;;1233;95
;4513;5865;144
;6428;1497;189
4098;;3722;203
;7347;440;35
;4658;9396;0
;6776;8415;400
5428;;9165;2
;6090;5913;111
;9567;7524;36
;2851;7209;38
;3819;3447;1
8960;;8643;41
5051;;8993;27
2958;;4279;10
9227;;6639;333
1858;;8382;412
;873;3969;63
;2006;826;219
;552;847;240
;932;9442;285
1057;;7654;265
;3305;130;318
;5845;1438;280
;1580;3267;385
;8112;3854;147
2535;;7641;233
5913;;7899;3
4915;;2199;17
;7283;8835;386
;3571;6653;62
7594;;9484;0
3780;;4778;23
6026;;2758;13
;2849;1723;151
9307;;9705;71
;4626;3169;187
4853;;3899;25
148;;8238;141
;5420;6543;11
;1539;6473;146
9547;;2792;32
7888;;5259;0
7726;;4249;6
8425;;831;97
;1780;8466;310
9367;;8684;82
4874;;4874;297
;745;3254;55
;4425;349;195
;9461;4963;12
;3520;8223;68
;2311;647;191
;5980;2464;158
;8849;7625;249
442;;1284;83
;4170;8811;0
;8740;8415;309
6824;;9822;36
;6821;2834;33
;5589;548;106
;4345;6329;52
5661;;7199;12
6042;;3073;6
7719;;7113;25
;2863;3205;146
;936;1181;68
;8236;2057;52
4902;;4612;385
7091;;9106;327
;4666;31;221
;4191;5280;201
;1802;9343;244
5276;;9288;63
;6413;8469;83
4516;;9610;355
8477;;7822;27
;6532;9938;3
;2363;8658;152
;7364;3675;51
3813;;9118;59
;5369;7436;234
;7775;6756;24
4768;;9943;27
;1888;3013;91
;3411;9525;278
;3980;7558;47
;7076;5736;12
;7385;5505;28
2604;;4893;17
6500;;3874;90
5816;;4884;175
3112;;1779;244
1567;;4908;13
;6479;8673;64
;9936;7313;188
1526;;6577;389
;8647;6335;17
7672;;407;122
3017;;6782;45
5404;;5776;27
1046;;3481;159
2390;;8715;188
;6537;2069;147
9078;;3797;185
;1291;6411;145
6972;;7730;185
;8766;3303;6
5353;;171;13
8834;;1703;194
6296;;2356;94
8371;;702;131
;7429;8672;14
3039;;1820;52
;2596;1021;0
;3259;5138;10
5447;;526;53
;5499;6181;35
2650;;6856;5
4345;;8621;40
180;;6516;58
7420;;6853;8
;2937;8236;324
4193;;8963;31
1921;;884;93
6822;;7942;353
8166;;1766;129
6654;;6983;111
;1798;5099;136
;9214;5429;98
3072;;8153;26
;3279;3000;309
;3101;4686;462
;6468;5693;194
1751;;3130;148
;2807;263;5
984;;4213;41
583;;4494;72
5068;;6005;161
;6120;7854;17
2717;;4086;2
;4044;670;212
;3798;9469;3
9205;;6945;79
;8523;1781;16
3192;;4201;3
6631;;2466;253
;1737;1721;137
271;;1268;181
;8475;9669;401
9701;;5321;43
7173;;8355;80
;8860;5765;30
;1714;325;21
1134;;9629;433
6850;;5196;33
;9835;2338;368
3360;;1622;250
8978;;3102;440
;6387;648;93
8764;;5703;270
;3671;6513;27
4250;;378;24
;2211;5629;6
;792;177;114
;1477;8473;236
;3159;6973;346
6836;;9983;223
5665;;2029;1
4008;;7333;293
2398;;9419;46
;9037;8794;13
4210;;8566;300
3654;;7859;135
;4554;2980;76
5930;;5392;62
9634;;7785;0
959;;8383;14
3969;;6650;30
5110;;5201;107
1958;;4831;181
;162;2157;330
;5039;8143;33
;8881;5693;129
1696;;2245;17
;2169;9223;202
798;;3266;14
302;;1789;159
8464;;4156;29
368;;6388;63
;1354;8864;427
;592;1254;215
3491;;2930;3
;3082;4337;59
;3385;5791;262
724;;5978;192
;9544;8079;175
;9588;465;83
;8738;8940;75
416;;8112;340
;2243;8230;10
1032;;252;6
;1532;7326;457
